Category: All categories,
,
Week,All I Want For Christmas Is You: (United States)
11/11/2018,15
11/18/2018,19
11/25/2018,22
12/2/2018,38
12/9/2018,42
12/16/2018,50
12/23/2018,43
12/30/2018,4
1/6/2019,2
1/13/2019,1
1/20/2019,1
1/27/2019,1
2/3/2019,1
2/10/2019,<1
2/17/2019,1
2/24/2019,1
3/3/2019,1
3/10/2019,1
3/17/2019,<1
3/24/2019,1
3/31/2019,1
4/7/2019,<1
4/14/2019,1
4/21/2019,<1
4/28/2019,1
5/5/2019,1
5/12/2019,1
5/19/2019,1
5/26/2019,1
6/2/2019,1
6/9/2019,<1
6/16/2019,<1
6/23/2019,<1
6/30/2019,<1
7/7/2019,1
7/14/2019,1
7/21/2019,1
7/28/2019,1
8/4/2019,1
8/11/2019,1
8/18/2019,1
8/25/2019,1
9/1/2019,1
9/8/2019,1
9/15/2019,1
9/22/2019,2
9/29/2019,2
10/6/2019,3
10/13/2019,3
10/20/2019,4
10/27/2019,12
11/3/2019,21
11/10/2019,23
11/17/2019,28
11/24/2019,36
12/1/2019,49
12/8/2019,59
12/15/2019,97
12/22/2019,100
12/29/2019,12
1/5/2020,5
1/12/2020,4
1/19/2020,2
1/26/2020,2
2/2/2020,2
2/9/2020,2
2/16/2020,2
2/23/2020,2
3/1/2020,1
3/8/2020,1
3/15/2020,1
3/22/2020,1
3/29/2020,1
4/5/2020,1
4/12/2020,2
4/19/2020,1
4/26/2020,1
5/3/2020,1
5/10/2020,1
5/17/2020,1
5/24/2020,1
5/31/2020,1
6/7/2020,2
6/14/2020,1
6/21/2020,2
6/28/2020,1
7/5/2020,1
7/12/2020,1
7/19/2020,2
7/26/2020,1
8/2/2020,2
8/9/2020,2
8/16/2020,2
8/23/2020,2
8/30/2020,2
9/6/2020,3
9/13/2020,3
9/20/2020,3
9/27/2020,4
10/4/2020,3
10/11/2020,3
10/18/2020,4
10/25/2020,9
11/1/2020,16
11/8/2020,18
11/15/2020,25
11/22/2020,30
11/29/2020,47
12/6/2020,54
12/13/2020,66
12/20/2020,83
12/27/2020,16
1/3/2021,4
1/10/2021,3
1/17/2021,2
1/24/2021,2
1/31/2021,2
2/7/2021,2
2/14/2021,1
2/21/2021,1
2/28/2021,2
3/7/2021,1
3/14/2021,1
3/21/2021,1
3/28/2021,1
4/4/2021,1
4/11/2021,1
4/18/2021,1
4/25/2021,1
5/2/2021,1
5/9/2021,1
5/16/2021,1
5/23/2021,1
5/30/2021,1
6/6/2021,2
6/13/2021,1
6/20/2021,1
6/27/2021,1
7/4/2021,2
7/11/2021,2
7/18/2021,1
7/25/2021,2
8/1/2021,1
8/8/2021,1
8/15/2021,3
8/22/2021,2
8/29/2021,2
9/5/2021,2
9/12/2021,2
9/19/2021,2
9/26/2021,4
10/3/2021,3
10/10/2021,5
10/17/2021,5
10/24/2021,7
10/31/2021,31
11/7/2021,20
11/14/2021,24
11/21/2021,32
11/28/2021,42
12/5/2021,54
12/12/2021,57
12/19/2021,85
12/26/2021,18
1/2/2022,5
1/9/2022,3
1/16/2022,2
1/23/2022,2
1/30/2022,2
2/6/2022,2
2/13/2022,2
2/20/2022,1
2/27/2022,1
3/6/2022,1
3/13/2022,1
3/20/2022,1
3/27/2022,2
4/3/2022,1
4/10/2022,1
4/17/2022,1
4/24/2022,1
5/1/2022,2
5/8/2022,1
5/15/2022,1
5/22/2022,1
5/29/2022,6
6/5/2022,10
6/12/2022,1
6/19/2022,1
6/26/2022,1
7/3/2022,1
7/10/2022,2
7/17/2022,2
7/24/2022,4
7/31/2022,2
8/7/2022,3
8/14/2022,3
8/21/2022,3
8/28/2022,2
9/4/2022,3
9/11/2022,3
9/18/2022,3
9/25/2022,4
10/2/2022,5
10/9/2022,5
10/16/2022,7
10/23/2022,8
10/30/2022,33
11/6/2022,26
11/13/2022,33
11/20/2022,47
11/27/2022,54
12/4/2022,62
12/11/2022,65
12/18/2022,80
12/25/2022,40
1/1/2023,7
1/8/2023,4
1/15/2023,3
1/22/2023,3
1/29/2023,2
2/5/2023,2
2/12/2023,2
2/19/2023,2
2/26/2023,1
3/5/2023,2
3/12/2023,1
3/19/2023,2
3/26/2023,2
4/2/2023,1
4/9/2023,2
4/16/2023,1
4/23/2023,1
4/30/2023,1
5/7/2023,1
5/14/2023,2
5/21/2023,1
5/28/2023,1
6/4/2023,1
6/11/2023,1
6/18/2023,1
6/25/2023,1
7/2/2023,1
7/9/2023,1
7/16/2023,1
7/23/2023,2
7/30/2023,2
8/6/2023,2
8/13/2023,2
8/20/2023,2
8/27/2023,3
9/3/2023,3
9/10/2023,4
9/17/2023,4
9/24/2023,5
10/1/2023,6
10/8/2023,7
10/15/2023,6
10/22/2023,7
10/29/2023,40
11/5/2023,32
