Category: All categories,
,
Week,Mariah Carey: (United States)
11/11/2018,38
11/18/2018,52
11/25/2018,35
12/2/2018,36
12/9/2018,38
12/16/2018,39
12/23/2018,51
12/30/2018,33
1/6/2019,28
1/13/2019,23
1/20/2019,22
1/27/2019,21
2/3/2019,20
2/10/2019,19
2/17/2019,19
2/24/2019,20
3/3/2019,20
3/10/2019,21
3/17/2019,19
3/24/2019,26
3/31/2019,18
4/7/2019,16
4/14/2019,14
4/21/2019,13
4/28/2019,53
5/5/2019,17
5/12/2019,15
5/19/2019,14
5/26/2019,15
6/2/2019,16
6/9/2019,18
6/16/2019,16
6/23/2019,16
6/30/2019,15
7/7/2019,25
7/14/2019,18
7/21/2019,16
7/28/2019,19
8/4/2019,20
8/11/2019,16
8/18/2019,17
8/25/2019,15
9/1/2019,17
9/8/2019,16
9/15/2019,16
9/22/2019,17
9/29/2019,17
10/6/2019,18
10/13/2019,17
10/20/2019,17
10/27/2019,21
11/3/2019,22
11/10/2019,20
11/17/2019,25
11/24/2019,25
12/1/2019,31
12/8/2019,51
12/15/2019,73
12/22/2019,68
12/29/2019,30
1/5/2020,16
1/12/2020,16
1/19/2020,15
1/26/2020,14
2/2/2020,17
2/9/2020,16
2/16/2020,18
2/23/2020,17
3/1/2020,16
3/8/2020,13
3/15/2020,14
3/22/2020,21
3/29/2020,26
4/5/2020,17
4/12/2020,18
4/19/2020,15
4/26/2020,15
5/3/2020,16
5/10/2020,16
5/17/2020,16
5/24/2020,14
5/31/2020,13
6/7/2020,19
6/14/2020,15
6/21/2020,15
6/28/2020,13
7/5/2020,15
7/12/2020,21
7/19/2020,16
7/26/2020,14
8/2/2020,17
8/9/2020,14
8/16/2020,19
8/23/2020,14
8/30/2020,20
9/6/2020,16
9/13/2020,15
9/20/2020,21
9/27/2020,34
10/4/2020,24
10/11/2020,20
10/18/2020,17
10/25/2020,19
11/1/2020,21
11/8/2020,22
11/15/2020,23
11/22/2020,27
11/29/2020,52
12/6/2020,46
12/13/2020,43
12/20/2020,63
12/27/2020,50
1/3/2021,18
1/10/2021,14
1/17/2021,14
1/24/2021,13
1/31/2021,17
2/7/2021,17
2/14/2021,15
2/21/2021,15
2/28/2021,15
3/7/2021,13
3/14/2021,13
3/21/2021,14
3/28/2021,14
4/4/2021,14
4/11/2021,17
4/18/2021,14
4/25/2021,13
5/2/2021,17
5/9/2021,15
5/16/2021,14
5/23/2021,15
5/30/2021,15
6/6/2021,19
6/13/2021,16
6/20/2021,17
6/27/2021,14
7/4/2021,17
7/11/2021,14
7/18/2021,15
7/25/2021,13
8/1/2021,13
8/8/2021,16
8/15/2021,15
8/22/2021,14
8/29/2021,14
9/5/2021,14
9/12/2021,13
9/19/2021,14
9/26/2021,15
10/3/2021,14
10/10/2021,14
10/17/2021,14
10/24/2021,21
10/31/2021,52
11/7/2021,28
11/14/2021,26
11/21/2021,28
11/28/2021,37
12/5/2021,59
12/12/2021,52
12/19/2021,76
12/26/2021,36
1/2/2022,19
1/9/2022,16
1/16/2022,17
1/23/2022,15
1/30/2022,19
2/6/2022,16
2/13/2022,22
2/20/2022,17
2/27/2022,16
3/6/2022,15
3/13/2022,14
3/20/2022,16
3/27/2022,20
4/3/2022,14
4/10/2022,15
4/17/2022,16
4/24/2022,14
5/1/2022,17
5/8/2022,14
5/15/2022,13
5/22/2022,14
5/29/2022,17
6/5/2022,22
6/12/2022,15
6/19/2022,17
6/26/2022,19
7/3/2022,15
7/10/2022,19
7/17/2022,16
7/24/2022,16
7/31/2022,14
8/7/2022,16
8/14/2022,17
8/21/2022,17
8/28/2022,20
9/4/2022,17
9/11/2022,17
9/18/2022,17
9/25/2022,17
10/2/2022,14
10/9/2022,16
10/16/2022,17
10/23/2022,21
10/30/2022,43
11/6/2022,29
11/13/2022,29
11/20/2022,61
11/27/2022,44
12/4/2022,44
12/11/2022,49
12/18/2022,100
12/25/2022,62
1/1/2023,23
1/8/2023,17
1/15/2023,15
1/22/2023,14
1/29/2023,14
2/5/2023,16
2/12/2023,16
2/19/2023,17
2/26/2023,16
3/5/2023,14
3/12/2023,14
3/19/2023,15
3/26/2023,19
4/2/2023,12
4/9/2023,13
4/16/2023,11
4/23/2023,13
4/30/2023,13
5/7/2023,13
5/14/2023,12
5/21/2023,13
5/28/2023,13
6/4/2023,13
6/11/2023,16
6/18/2023,13
6/25/2023,15
7/2/2023,15
7/9/2023,14
7/16/2023,17
7/23/2023,14
7/30/2023,13
8/6/2023,13
8/13/2023,14
8/20/2023,11
8/27/2023,13
9/3/2023,15
9/10/2023,14
9/17/2023,14
9/24/2023,14
10/1/2023,23
10/8/2023,17
10/15/2023,18
10/22/2023,19
10/29/2023,58
11/5/2023,45
