Category: All categories

Week,memes: (Worldwide)
2018-11-11,80
2018-11-18,81
2018-11-25,85
2018-12-02,81
2018-12-09,89
2018-12-16,81
2018-12-23,76
2018-12-30,83
2019-01-06,90
2019-01-13,89
2019-01-20,84
2019-01-27,85
2019-02-03,86
2019-02-10,95
2019-02-17,81
2019-02-24,81
2019-03-03,81
2019-03-10,78
2019-03-17,80
2019-03-24,78
2019-03-31,78
2019-04-07,77
2019-04-14,84
2019-04-21,86
2019-04-28,88
2019-05-05,89
2019-05-12,90
2019-05-19,89
2019-05-26,81
2019-06-02,76
2019-06-09,76
2019-06-16,71
2019-06-23,70
2019-06-30,73
2019-07-07,72
2019-07-14,77
2019-07-21,69
2019-07-28,69
2019-08-04,71
2019-08-11,73
2019-08-18,71
2019-08-25,78
2019-09-01,77
2019-09-08,81
2019-09-15,81
2019-09-22,83
2019-09-29,86
2019-10-06,79
2019-10-13,78
2019-10-20,80
2019-10-27,77
2019-11-03,81
2019-11-10,84
2019-11-17,81
2019-11-24,82
2019-12-01,76
2019-12-08,78
2019-12-15,79
2019-12-22,72
2019-12-29,81
2020-01-05,81
2020-01-12,77
2020-01-19,77
2020-01-26,76
2020-02-02,84
2020-02-09,85
2020-02-16,72
2020-02-23,77
2020-03-01,77
2020-03-08,87
2020-03-15,100
2020-03-22,99
2020-03-29,97
2020-04-05,94
2020-04-12,91
2020-04-19,82
2020-04-26,80
2020-05-03,79
2020-05-10,75
2020-05-17,71
2020-05-24,69
2020-05-31,69
2020-06-07,67
2020-06-14,65
2020-06-21,69
2020-06-28,68
2020-07-05,65
2020-07-12,65
2020-07-19,66
2020-07-26,66
2020-08-02,70
2020-08-09,69
2020-08-16,68
2020-08-23,71
2020-08-30,68
2020-09-06,69
2020-09-13,69
2020-09-20,69
2020-09-27,68
2020-10-04,66
2020-10-11,61
2020-10-18,62
2020-10-25,60
2020-11-01,68
2020-11-08,70
2020-11-15,63
2020-11-22,62
2020-11-29,60
2020-12-06,61
2020-12-13,59
2020-12-20,59
2020-12-27,61
2021-01-03,60
2021-01-10,61
2021-01-17,71
2021-01-24,65
2021-01-31,55
2021-02-07,62
2021-02-14,63
2021-02-21,53
2021-02-28,54
2021-03-07,54
2021-03-14,50
2021-03-21,50
2021-03-28,55
2021-04-04,53
2021-04-11,54
2021-04-18,55
2021-04-25,53
2021-05-02,54
2021-05-09,51
2021-05-16,52
2021-05-23,51
2021-05-30,52
2021-06-06,52
2021-06-13,52
2021-06-20,51
2021-06-27,54
2021-07-04,52
2021-07-11,50
2021-07-18,48
2021-07-25,47
2021-08-01,46
2021-08-08,49
2021-08-15,47
2021-08-22,48
2021-08-29,45
2021-09-05,45
2021-09-12,44
2021-09-19,44
2021-09-26,45
2021-10-03,47
2021-10-10,46
2021-10-17,45
2021-10-24,48
2021-10-31,45
2021-11-07,44
2021-11-14,45
2021-11-21,47
2021-11-28,44
2021-12-05,45
2021-12-12,44
2021-12-19,48
2021-12-26,44
2022-01-02,44
2022-01-09,45
2022-01-16,43
2022-01-23,43
2022-01-30,46
2022-02-06,48
2022-02-13,49
2022-02-20,44
2022-02-27,42
2022-03-06,40
2022-03-13,43
2022-03-20,44
2022-03-27,49
2022-04-03,45
2022-04-10,43
2022-04-17,44
2022-04-24,46
2022-05-01,47
2022-05-08,47
2022-05-15,46
2022-05-22,46
2022-05-29,42
2022-06-05,43
2022-06-12,42
2022-06-19,43
2022-06-26,43
2022-07-03,44
2022-07-10,39
2022-07-17,41
2022-07-24,41
2022-07-31,39
2022-08-07,40
2022-08-14,39
2022-08-21,41
2022-08-28,43
2022-09-04,46
2022-09-11,44
2022-09-18,43
2022-09-25,43
2022-10-02,40
2022-10-09,40
2022-10-16,43
2022-10-23,45
2022-10-30,41
2022-11-06,41
2022-11-13,41
2022-11-20,42
2022-11-27,40
2022-12-04,39
2022-12-11,38
2022-12-18,39
2022-12-25,38
2023-01-01,36
2023-01-08,43
2023-01-15,38
2023-01-22,37
2023-01-29,37
2023-02-05,40
2023-02-12,42
2023-02-19,35
2023-02-26,36
2023-03-05,35
2023-03-12,36
2023-03-19,35
2023-03-26,37
2023-04-02,36
2023-04-09,36
2023-04-16,35
2023-04-23,36
2023-04-30,35
2023-05-07,36
2023-05-14,35
2023-05-21,34
2023-05-28,33
2023-06-04,32
2023-06-11,32
2023-06-18,36
2023-06-25,34
2023-07-02,35
2023-07-09,31
2023-07-16,31
2023-07-23,30
2023-07-30,31
2023-08-06,31
2023-08-13,31
2023-08-20,33
2023-08-27,33
2023-09-03,31
2023-09-10,32
2023-09-17,32
2023-09-24,33
2023-10-01,34
2023-10-08,32
2023-10-15,30
2023-10-22,32
2023-10-29,30
2023-11-05,30
