Date,AIWFC,Christmas,MariahCarey,Memes
11/11/2018,15,25,38,80
11/18/2018,19,35,52,81
11/25/2018,22,49,35,85
12/2/2018,38,53,36,81
12/9/2018,42,52,38,89
12/16/2018,50,62,39,81
12/23/2018,43,81,51,76
12/30/2018,4,9,33,83
1/6/2019,2,4,28,90
1/13/2019,1,2,23,89
1/20/2019,1,2,22,84
1/27/2019,1,2,21,85
2/3/2019,1,1,20,86
2/10/2019,0,1,19,95
2/17/2019,1,1,19,81
2/24/2019,1,1,20,81
3/3/2019,1,1,20,81
3/10/2019,1,1,21,78
3/17/2019,0,1,19,80
3/24/2019,1,1,26,78
3/31/2019,1,1,18,78
4/7/2019,0,1,16,77
4/14/2019,1,1,14,84
4/21/2019,0,1,13,86
4/28/2019,1,1,53,88
5/5/2019,1,1,17,89
5/12/2019,1,1,15,90
5/19/2019,1,1,14,89
5/26/2019,1,1,15,81
6/2/2019,1,1,16,76
6/9/2019,0,1,18,76
6/16/2019,0,1,16,71
6/23/2019,0,1,16,70
6/30/2019,0,2,15,73
7/7/2019,1,2,25,72
7/14/2019,1,2,18,77
7/21/2019,1,2,16,69
7/28/2019,1,2,19,69
8/4/2019,1,2,20,71
8/11/2019,1,2,16,73
8/18/2019,1,2,17,71
8/25/2019,1,2,15,78
9/1/2019,1,3,17,77
9/8/2019,1,3,16,81
9/15/2019,1,4,16,81
9/22/2019,2,4,17,83
9/29/2019,2,5,17,86
10/6/2019,3,5,18,79
10/13/2019,3,7,17,78
10/20/2019,4,9,17,80
10/27/2019,12,12,21,77
11/3/2019,21,20,22,81
11/10/2019,23,23,20,84
11/17/2019,28,27,25,81
11/24/2019,36,37,25,82
12/1/2019,49,50,31,76
12/8/2019,59,54,51,78
12/15/2019,97,60,73,79
12/22/2019,100,93,68,72
12/29/2019,12,10,30,81
1/5/2020,5,5,16,81
1/12/2020,4,3,16,77
1/19/2020,2,2,15,77
1/26/2020,2,2,14,76
2/2/2020,2,1,17,84
2/9/2020,2,1,16,85
2/16/2020,2,1,18,72
2/23/2020,2,1,17,77
3/1/2020,1,1,16,77
3/8/2020,1,1,13,87
3/15/2020,1,1,14,100
3/22/2020,1,1,21,99
3/29/2020,1,1,26,97
4/5/2020,1,1,17,94
4/12/2020,2,1,18,91
4/19/2020,1,1,15,82
4/26/2020,1,1,15,80
5/3/2020,1,1,16,79
5/10/2020,1,1,16,75
5/17/2020,1,1,16,71
5/24/2020,1,2,14,69
5/31/2020,1,1,13,69
6/7/2020,2,1,19,67
6/14/2020,1,2,15,65
6/21/2020,2,2,15,69
6/28/2020,1,2,13,68
7/5/2020,1,2,15,65
7/12/2020,1,2,21,65
7/19/2020,2,2,16,66
7/26/2020,1,2,14,66
8/2/2020,2,2,17,70
8/9/2020,2,2,14,69
8/16/2020,2,2,19,68
8/23/2020,2,2,14,71
8/30/2020,2,3,20,68
9/6/2020,3,3,16,69
9/13/2020,3,3,15,69
9/20/2020,3,4,21,69
9/27/2020,4,5,34,68
10/4/2020,3,5,24,66
10/11/2020,3,6,20,61
10/18/2020,4,9,17,62
10/25/2020,9,11,19,60
11/1/2020,16,14,21,68
11/8/2020,18,22,22,70
11/15/2020,25,28,23,63
11/22/2020,30,40,27,62
11/29/2020,47,52,52,60
12/6/2020,54,50,46,61
12/13/2020,66,54,43,59
12/20/2020,83,100,63,59
12/27/2020,16,14,50,61
1/3/2021,4,6,18,60
1/10/2021,3,3,14,61
1/17/2021,2,2,14,71
1/24/2021,2,2,13,65
1/31/2021,2,2,17,55
2/7/2021,2,2,17,62
2/14/2021,1,2,15,63
2/21/2021,1,2,15,53
2/28/2021,2,2,15,54
3/7/2021,1,1,13,54
3/14/2021,1,1,13,50
3/21/2021,1,1,14,50
3/28/2021,1,1,14,55
4/4/2021,1,1,14,53
4/11/2021,1,1,17,54
4/18/2021,1,1,14,55
4/25/2021,1,1,13,53
5/2/2021,1,1,17,54
5/9/2021,1,2,15,51
5/16/2021,1,1,14,52
5/23/2021,1,1,15,51
5/30/2021,1,2,15,52
6/6/2021,2,1,19,52
6/13/2021,1,2,16,52
6/20/2021,1,2,17,51
6/27/2021,1,2,14,54
7/4/2021,2,2,17,52
7/11/2021,2,2,14,50
7/18/2021,1,2,15,48
7/25/2021,2,3,13,47
8/1/2021,1,2,13,46
8/8/2021,1,2,16,49
8/15/2021,3,2,15,47
8/22/2021,2,3,14,48
8/29/2021,2,3,14,45
9/5/2021,2,3,14,45
9/12/2021,2,4,13,44
9/19/2021,2,4,14,44
9/26/2021,4,5,15,45
10/3/2021,3,6,14,47
10/10/2021,5,7,14,46
10/17/2021,5,8,14,45
10/24/2021,7,11,21,48
10/31/2021,31,18,52,45
11/7/2021,20,23,28,44
11/14/2021,24,27,26,45
11/21/2021,32,40,28,47
11/28/2021,42,51,37,44
12/5/2021,54,56,59,45
12/12/2021,57,53,52,44
12/19/2021,85,91,76,48
12/26/2021,18,20,36,44
1/2/2022,5,7,19,44
1/9/2022,3,3,16,45
1/16/2022,2,2,17,43
1/23/2022,2,2,15,43
1/30/2022,2,2,19,46
2/6/2022,2,2,16,48
2/13/2022,2,2,22,49
2/20/2022,1,2,17,44
2/27/2022,1,1,16,42
3/6/2022,1,1,15,40
3/13/2022,1,1,14,43
3/20/2022,1,2,16,44
3/27/2022,2,1,20,49
4/3/2022,1,1,14,45
4/10/2022,1,1,15,43
4/17/2022,1,1,16,44
4/24/2022,1,1,14,46
5/1/2022,2,1,17,47
5/8/2022,1,1,14,47
5/15/2022,1,1,13,46
5/22/2022,1,1,14,46
5/29/2022,6,1,17,42
6/5/2022,10,2,22,43
6/12/2022,1,2,15,42
6/19/2022,1,2,17,43
6/26/2022,1,2,19,43
7/3/2022,1,2,15,44
7/10/2022,2,2,19,39
7/17/2022,2,2,16,41
7/24/2022,4,2,16,41
7/31/2022,2,2,14,39
8/7/2022,3,2,16,40
8/14/2022,3,3,17,39
8/21/2022,3,3,17,41
8/28/2022,2,3,20,43
9/4/2022,3,3,17,46
9/11/2022,3,4,17,44
9/18/2022,3,4,17,43
9/25/2022,4,5,17,43
10/2/2022,5,6,14,40
10/9/2022,5,7,16,40
10/16/2022,7,8,17,43
10/23/2022,8,10,21,45
10/30/2022,33,17,43,41
11/6/2022,26,21,29,41
11/13/2022,33,30,29,41
11/20/2022,47,38,61,42
11/27/2022,54,51,44,40
12/4/2022,62,53,44,39
12/11/2022,65,58,49,38
12/18/2022,80,69,100,39
12/25/2022,40,47,62,38
1/1/2023,7,7,23,36
1/8/2023,4,4,17,43
1/15/2023,3,2,15,38
1/22/2023,3,2,14,37
1/29/2023,2,2,14,37
2/5/2023,2,2,16,40
2/12/2023,2,1,16,42
2/19/2023,2,1,17,35
2/26/2023,1,1,16,36
3/5/2023,2,1,14,35
3/12/2023,1,1,14,36
3/19/2023,2,1,15,35
3/26/2023,2,1,19,37
4/2/2023,1,1,12,36
4/9/2023,2,1,13,36
4/16/2023,1,1,11,35
4/23/2023,1,1,13,36
4/30/2023,1,1,13,35
5/7/2023,1,1,13,36
5/14/2023,2,1,12,35
5/21/2023,1,1,13,34
5/28/2023,1,1,13,33
6/4/2023,1,1,13,32
6/11/2023,1,1,16,32
6/18/2023,1,2,13,36
6/25/2023,1,2,15,34
7/2/2023,1,2,15,35
7/9/2023,1,2,14,31
7/16/2023,1,2,17,31
7/23/2023,2,2,14,30
7/30/2023,2,2,13,31
8/6/2023,2,2,13,31
8/13/2023,2,3,14,31
8/20/2023,2,3,11,33
8/27/2023,3,3,13,33
9/3/2023,3,3,15,31
9/10/2023,4,4,14,32
9/17/2023,4,4,14,32
9/24/2023,5,5,14,33
10/1/2023,6,5,23,34
10/8/2023,7,7,17,32
10/15/2023,6,8,18,30
10/22/2023,7,10,19,32
10/29/2023,40,18,58,30
11/5/2023,32,25,45,30
